match_id,participant_id,teamId,puuid,champion,lane,Ct_raw,Ct_norm,win
KR_7569652545,4,100,1ENie03w4q-kajyhgCdJOmHHKHntODI-KqxsRRWgE553uiW8-iIms_gSPypzs83EFOXvryWenbbe2A,Ezreal,BOTTOM,3461.572489323088,0.5037340874605853,
KR_7569652545,5,100,petzOh5VqDIUTq4PH2j_V5fPyBMj8Y74IKf4Z-Qb1msnLy8V6fQrW6zQH37Y0-MMMj-qggP7kIQqzw,Rell,BOTTOM,-3461.572489323088,-0.5037340874605853,
KR_7569652545,2,100,YC5fatCdHOgo9LlnaDliBR0MrGK_8QIFFdPhUMj2fHGMf2ZSgslFoU5sQG_oqVDuBpJS8jK1iHzvEw,Talon,JUNGLE,3226.053227104542,0.46946091219154756,
KR_7569652545,7,200,BOsrR5OT3hqa9Ga1ckb2JomNerWzEJNGxH7HJAP8NNF0mJj6prHlwWMuTW3EvlozWIcTgwEbq3VpuQ,Viego,JUNGLE,-3226.053227104542,-0.46946091219154756,
KR_7569898401,1,100,MBUzVjn0AR72yp6kkRKtuUT8_ZXGohVgDaBHYBkR6qlIE6XJxReJhclrcYu5j5b57_wcpCbn16Mzeg,Azir,TOP,-4072.473280419728,-0.5926334398448517,
KR_7569898401,8,200,-RpMzyvyToeMVATBXPUNOFh8PH8wifgnDtkiIrLQ8DuPlxuPUidYv9jQjcjR905aVG_J-Kzy04V0Uw,Akali,TOP,4072.473280419728,0.5926334398448517,
KR_7570083380,2,100,j-9Xm1v25TYRRDb_HQcMb5NT7kaa0sDdu0qtrIfC6Ff1bh-huJU7dkQWi7ABNBnICv424q7XrCyUfg,Lillia,JUNGLE,7023.412760941065,1.0220593181001163,
KR_7570083380,7,200,UUQHpUhHxpl2kOoCfl0U5AtRaVuBSXAK_y41O3X2IuNesow0cEFAbq3chyUWgLzkAJtKpgg1MDXs8Q,Amumu,JUNGLE,-7023.412760941065,-1.0220593181001163,
KR_7570083380,3,100,snjNbJ_4HDzjx0qoQuaMLDbt5TEoav1NYap6tyDAgpqqOuAXFvouXj4BPkIxEOqKlj7k7oNq-41AeA,Galio,MIDDLE,-1912.9750662165486,-0.27837947992933243,
KR_7570083380,8,200,BmC6YM7U8xhQzNJYSsMK8V52JQT5kODee17jieCgq9ZUEks83DHtCG0pxnq3nmD_0J3WbKg-jvNPvQ,Thresh,MIDDLE,1912.9750662165486,0.27837947992933243,
KR_7570083380,1,100,Pgk4HgsYtPAN94ExJ0X4f1ZG1OD9qsFOffiA4llprGnT_AAhJxtubPZ-ZVeq2ZPD6v4XwwQiDxOlEQ,Riven,TOP,-8692.595284171071,-1.2649616804622714,
